INFO  - 2014-03-10 16:03:10.454; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/fraferra/solr-4.7.0/contrib/extraction/lib/isoparser-1.0-RC-1.jar' to classloader
INFO  - 2014-03-10 16:03:10.454; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/fraferra/solr-4.7.0/contrib/extraction/lib/jdom-1.0.jar' to classloader
INFO  - 2014-03-10 16:03:10.455; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/fraferra/solr-4.7.0/contrib/extraction/lib/jempbox-1.8.1.jar' to classloader
INFO  - 2014-03-10 16:03:10.455; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/fraferra/solr-4.7.0/contrib/extraction/lib/juniversalchardet-1.0.3.jar' to classloader
INFO  - 2014-03-10 16:03:10.455; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/fraferra/solr-4.7.0/contrib/extraction/lib/metadata-extractor-2.6.2.jar' to classloader
INFO  - 2014-03-10 16:03:10.455; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/fraferra/solr-4.7.0/contrib/extraction/lib/netcdf-4.2-min.jar' to classloader
INFO  - 2014-03-10 16:03:10.456; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/fraferra/solr-4.7.0/contrib/extraction/lib/pdfbox-1.8.1.jar' to classloader
INFO  - 2014-03-10 16:03:10.456; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/fraferra/solr-4.7.0/contrib/extraction/lib/poi-3.9.jar' to classloader
INFO  - 2014-03-10 16:03:10.456; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/fraferra/solr-4.7.0/contrib/extraction/lib/poi-ooxml-3.9.jar' to classloader
INFO  - 2014-03-10 16:03:10.456; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/fraferra/solr-4.7.0/contrib/extraction/lib/poi-ooxml-schemas-3.9.jar' to classloader
INFO  - 2014-03-10 16:03:10.457; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/fraferra/solr-4.7.0/contrib/extraction/lib/poi-scratchpad-3.9.jar' to classloader
INFO  - 2014-03-10 16:03:10.457; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/fraferra/solr-4.7.0/contrib/extraction/lib/rome-0.9.jar' to classloader
INFO  - 2014-03-10 16:03:10.457; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/fraferra/solr-4.7.0/contrib/extraction/lib/tagsoup-1.2.1.jar' to classloader
INFO  - 2014-03-10 16:03:10.457; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/fraferra/solr-4.7.0/contrib/extraction/lib/tika-core-1.4.jar' to classloader
INFO  - 2014-03-10 16:03:10.458; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/fraferra/solr-4.7.0/contrib/extraction/lib/tika-parsers-1.4.jar' to classloader
INFO  - 2014-03-10 16:03:10.458; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/fraferra/solr-4.7.0/contrib/extraction/lib/tika-xmp-1.4.jar' to classloader
INFO  - 2014-03-10 16:03:10.458; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/fraferra/solr-4.7.0/contrib/extraction/lib/vorbis-java-core-0.1.jar' to classloader
INFO  - 2014-03-10 16:03:10.458; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/fraferra/solr-4.7.0/contrib/extraction/lib/vorbis-java-tika-0.1.jar' to classloader
INFO  - 2014-03-10 16:03:10.458; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/fraferra/solr-4.7.0/contrib/extraction/lib/xercesImpl-2.9.1.jar' to classloader
INFO  - 2014-03-10 16:03:10.459; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/fraferra/solr-4.7.0/contrib/extraction/lib/xmlbeans-2.3.0.jar' to classloader
INFO  - 2014-03-10 16:03:10.459; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/fraferra/solr-4.7.0/contrib/extraction/lib/xmpcore-5.1.2.jar' to classloader
INFO  - 2014-03-10 16:03:10.459; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/fraferra/solr-4.7.0/contrib/extraction/lib/xz-1.0.jar' to classloader
INFO  - 2014-03-10 16:03:10.624; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/fraferra/solr-4.7.0/dist/solr-cell-4.7.0.jar' to classloader
INFO  - 2014-03-10 16:03:10.639; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/fraferra/solr-4.7.0/contrib/clustering/lib/attributes-binder-1.2.0.jar' to classloader
INFO  - 2014-03-10 16:03:10.639; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/fraferra/solr-4.7.0/contrib/clustering/lib/carrot2-mini-3.8.0.jar' to classloader
INFO  - 2014-03-10 16:03:10.639; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/fraferra/solr-4.7.0/contrib/clustering/lib/hppc-0.5.2.jar' to classloader
INFO  - 2014-03-10 16:03:10.639; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/fraferra/solr-4.7.0/contrib/clustering/lib/jackson-core-asl-1.9.13.jar' to classloader
INFO  - 2014-03-10 16:03:10.640; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/fraferra/solr-4.7.0/contrib/clustering/lib/jackson-mapper-asl-1.9.13.jar' to classloader
INFO  - 2014-03-10 16:03:10.640; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/fraferra/solr-4.7.0/contrib/clustering/lib/mahout-collections-1.0.jar' to classloader
INFO  - 2014-03-10 16:03:10.640; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/fraferra/solr-4.7.0/contrib/clustering/lib/mahout-math-0.6.jar' to classloader
INFO  - 2014-03-10 16:03:10.640; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/fraferra/solr-4.7.0/contrib/clustering/lib/simple-xml-2.7.jar' to classloader
INFO  - 2014-03-10 16:03:10.641; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/fraferra/solr-4.7.0/dist/solr-clustering-4.7.0.jar' to classloader
INFO  - 2014-03-10 16:03:10.641; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/fraferra/solr-4.7.0/contrib/langid/lib/jsonic-1.2.7.jar' to classloader
INFO  - 2014-03-10 16:03:10.641; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/fraferra/solr-4.7.0/contrib/langid/lib/langdetect-1.1-20120112.jar' to classloader
INFO  - 2014-03-10 16:03:10.642; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/fraferra/solr-4.7.0/dist/solr-langid-4.7.0.jar' to classloader
INFO  - 2014-03-10 16:03:10.643; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/fraferra/solr-4.7.0/contrib/velocity/lib/commons-beanutils-1.7.0.jar' to classloader
INFO  - 2014-03-10 16:03:10.643; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/fraferra/solr-4.7.0/contrib/velocity/lib/commons-collections-3.2.1.jar' to classloader
INFO  - 2014-03-10 16:03:10.643; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/fraferra/solr-4.7.0/contrib/velocity/lib/velocity-1.7.jar' to classloader
INFO  - 2014-03-10 16:03:10.643; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/fraferra/solr-4.7.0/contrib/velocity/lib/velocity-tools-2.0.jar' to classloader
INFO  - 2014-03-10 16:03:10.644; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/fraferra/solr-4.7.0/dist/solr-velocity-4.7.0.jar' to classloader
INFO  - 2014-03-10 16:03:11.326; org.apache.solr.update.SolrIndexConfig; IndexWriter infoStream solr logging is enabled
INFO  - 2014-03-10 16:03:11.332; org.apache.solr.core.SolrConfig; Using Lucene MatchVersion: LUCENE_47
INFO  - 2014-03-10 16:03:11.468; org.apache.solr.core.SolrConfig; Loaded SolrConfig: solrconfig.xml
INFO  - 2014-03-10 16:03:11.473; org.apache.solr.schema.IndexSchema; Reading Solr Schema from schema.xml
INFO  - 2014-03-10 16:03:11.570; org.apache.solr.schema.IndexSchema; [collection1] Schema name=example
INFO  - 2014-03-10 16:03:12.189; org.apache.solr.schema.IndexSchema; unique key field: id
INFO  - 2014-03-10 16:03:12.585; org.apache.solr.schema.FileExchangeRateProvider; Reloading exchange rates from file currency.xml
INFO  - 2014-03-10 16:03:12.606; org.apache.solr.schema.FileExchangeRateProvider; Reloading exchange rates from file currency.xml
INFO  - 2014-03-10 16:03:13.216; org.apache.solr.core.SolrCore; solr.NRTCachingDirectoryFactory
INFO  - 2014-03-10 16:03:13.222; org.apache.solr.core.SolrCore; [collection1] Opening new SolrCore at /Users/fraferra/solr-4.7.0/example/solr/collection1/, dataDir=/Users/fraferra/solr-4.7.0/example/solr/collection1/data/
INFO  - 2014-03-10 16:03:13.254; org.apache.solr.core.JmxMonitoredMap; No JMX servers found, not exposing Solr information with JMX.
INFO  - 2014-03-10 16:03:13.262; org.apache.solr.core.SolrCore; [collection1] Added SolrEventListener for newSearcher: org.apache.solr.core.QuerySenderListener{queries=[]}
INFO  - 2014-03-10 16:03:13.263; org.apache.solr.core.SolrCore; [collection1] Added SolrEventListener for firstSearcher: org.apache.solr.core.QuerySenderListener{queries=[{q=static firstSearcher warming in solrconfig.xml}]}
INFO  - 2014-03-10 16:03:13.275; org.apache.solr.core.CachingDirectoryFactory; return new directory for /Users/fraferra/solr-4.7.0/example/solr/collection1/data
INFO  - 2014-03-10 16:03:13.275; org.apache.solr.core.SolrCore; New index directory detected: old=null new=/Users/fraferra/solr-4.7.0/example/solr/collection1/data/index/
WARN  - 2014-03-10 16:03:13.276; org.apache.solr.core.SolrCore; [collection1] Solr index directory '/Users/fraferra/solr-4.7.0/example/solr/collection1/data/index' doesn't exist. Creating new index...
INFO  - 2014-03-10 16:03:13.282; org.apache.solr.core.CachingDirectoryFactory; return new directory for /Users/fraferra/solr-4.7.0/example/solr/collection1/data/index
INFO  - 2014-03-10 16:03:13.728; org.apache.solr.core.SolrDeletionPolicy; SolrDeletionPolicy.onCommit: commits: num=1
	commit{dir=NRTCachingDirectory(NIOFSDirectory@/Users/fraferra/solr-4.7.0/example/solr/collection1/data/index lockFactory=NativeFSLockFactory@/Users/fraferra/solr-4.7.0/example/solr/collection1/data/index; maxCacheMB=48.0 maxMergeSizeMB=4.0),segFN=segments_1,generation=1}
INFO  - 2014-03-10 16:03:13.729; org.apache.solr.core.SolrDeletionPolicy; newest commit generation = 1
INFO  - 2014-03-10 16:03:13.733; org.apache.solr.core.SolrCore; created json: solr.JSONResponseWriter
INFO  - 2014-03-10 16:03:13.733; org.apache.solr.core.SolrCore; adding lazy queryResponseWriter: solr.VelocityResponseWriter
INFO  - 2014-03-10 16:03:13.734; org.apache.solr.core.SolrCore; created velocity: solr.VelocityResponseWriter
INFO  - 2014-03-10 16:03:13.752; org.apache.solr.core.SolrCore; created xslt: solr.XSLTResponseWriter
INFO  - 2014-03-10 16:03:13.752; org.apache.solr.response.XSLTResponseWriter; xsltCacheLifetimeSeconds=5
INFO  - 2014-03-10 16:03:13.832; org.apache.solr.core.SolrCore; no updateRequestProcessorChain defined as default, creating implicit default
INFO  - 2014-03-10 16:03:13.840; org.apache.solr.core.RequestHandlers; created /select: solr.SearchHandler
INFO  - 2014-03-10 16:03:13.840; org.apache.solr.core.RequestHandlers; created /query: solr.SearchHandler
INFO  - 2014-03-10 16:03:13.842; org.apache.solr.core.RequestHandlers; created /get: solr.RealTimeGetHandler
INFO  - 2014-03-10 16:03:13.842; org.apache.solr.core.RequestHandlers; created /browse: solr.SearchHandler
INFO  - 2014-03-10 16:03:13.845; org.apache.solr.core.RequestHandlers; created /update: solr.UpdateRequestHandler
INFO  - 2014-03-10 16:03:13.845; org.apache.solr.core.RequestHandlers; created /update/json: solr.UpdateRequestHandler
INFO  - 2014-03-10 16:03:13.845; org.apache.solr.core.RequestHandlers; created /update/csv: solr.UpdateRequestHandler
INFO  - 2014-03-10 16:03:13.845; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.extraction.ExtractingRequestHandler
INFO  - 2014-03-10 16:03:13.846; org.apache.solr.core.RequestHandlers; created /update/extract: solr.extraction.ExtractingRequestHandler
INFO  - 2014-03-10 16:03:13.846; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.FieldAnalysisRequestHandler
INFO  - 2014-03-10 16:03:13.846; org.apache.solr.core.RequestHandlers; created /analysis/field: solr.FieldAnalysisRequestHandler
INFO  - 2014-03-10 16:03:13.846; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.DocumentAnalysisRequestHandler
INFO  - 2014-03-10 16:03:13.847; org.apache.solr.core.RequestHandlers; created /analysis/document: solr.DocumentAnalysisRequestHandler
INFO  - 2014-03-10 16:03:13.848; org.apache.solr.core.RequestHandlers; created /admin/: solr.admin.AdminHandlers
INFO  - 2014-03-10 16:03:13.850; org.apache.solr.core.RequestHandlers; created /admin/ping: solr.PingRequestHandler
INFO  - 2014-03-10 16:03:13.851; org.apache.solr.core.RequestHandlers; created /debug/dump: solr.DumpRequestHandler
INFO  - 2014-03-10 16:03:13.859; org.apache.solr.core.RequestHandlers; created /replication: solr.ReplicationHandler
INFO  - 2014-03-10 16:03:13.859; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2014-03-10 16:03:13.859; org.apache.solr.core.RequestHandlers; created /spell: solr.SearchHandler
INFO  - 2014-03-10 16:03:13.859; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2014-03-10 16:03:13.859; org.apache.solr.core.RequestHandlers; created /suggest: solr.SearchHandler
INFO  - 2014-03-10 16:03:13.859; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2014-03-10 16:03:13.859; org.apache.solr.core.RequestHandlers; created /tvrh: solr.SearchHandler
INFO  - 2014-03-10 16:03:13.860; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2014-03-10 16:03:13.860; org.apache.solr.core.RequestHandlers; created /terms: solr.SearchHandler
INFO  - 2014-03-10 16:03:13.860; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2014-03-10 16:03:13.860; org.apache.solr.core.RequestHandlers; created /elevate: solr.SearchHandler
INFO  - 2014-03-10 16:03:13.886; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2014-03-10 16:03:13.888; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2014-03-10 16:03:13.888; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2014-03-10 16:03:13.910; org.apache.solr.update.CommitTracker; Hard AutoCommit: if uncommited for 15000ms; 
INFO  - 2014-03-10 16:03:13.910; org.apache.solr.update.CommitTracker; Soft AutoCommit: disabled
INFO  - 2014-03-10 16:03:13.925; org.apache.solr.core.SolrDeletionPolicy; SolrDeletionPolicy.onInit: commits: num=1
	commit{dir=NRTCachingDirectory(NIOFSDirectory@/Users/fraferra/solr-4.7.0/example/solr/collection1/data/index lockFactory=NativeFSLockFactory@/Users/fraferra/solr-4.7.0/example/solr/collection1/data/index; maxCacheMB=48.0 maxMergeSizeMB=4.0),segFN=segments_1,generation=1}
INFO  - 2014-03-10 16:03:13.925; org.apache.solr.core.SolrDeletionPolicy; newest commit generation = 1
INFO  - 2014-03-10 16:03:13.931; org.apache.solr.search.SolrIndexSearcher; Opening Searcher@3717ee94[collection1] main
INFO  - 2014-03-10 16:03:13.935; org.apache.solr.handler.component.SpellCheckComponent; Initializing spell checkers
